Item Title,SKU,Quantity,Areas
Elixir 16027 Nanoweb Phosphor Bronze Custom Light 11-52 Acoustic Guitar Strings,N2768,1,1) String Room
3M Electric Guitar Black and Blue Braided Instrument Cable,SC-003SRBL,1,2) Back Area
Steinhoff Student Tenor Saxophone (Gold),KSO-TS1-GLDJD,1,4) Out the Front
Schaller Machines 3/3 M6-180 Chrome,45020PPT,1,4) Out the Front
Ernie Ball Power Slinky Nickel Wound Electric Guitar Strings 11-48 Gauge,2220CMC,3,1) String Room
Elixir 12050 Polyweb Electric Light 10-46 Electric Guitar Strings,E12050,2,1) String Room
"D'Addario EJ16-3D Phosphor Bronze Acoustic Guitar Strings, Light, 3 Sets",EJ16-3D,1,1) String Room
Ernie Ball Earthwood 80-20 Bronze Nylon Ball End Guitar Strings (28-42),2069CMC,2,1) String Room
Casio CasioTone CTS-100 61 Note Digital Keyboard,CTS100BK,1,4) Out the Front
"D'Addario EXL110-3D Nickel Wound Electric Guitar Strings, Regular Light, 10-46, 3 Sets",EXL110-3D,1,1) String Room
"D'Addario NYXL1046 Nickel Wound Electric Guitar Strings, Regular Light, 10-46",NYXL1046,1,1) String Room
"D'Addario NB1253 Nickel Bronze Acoustic Guitar Strings, Light, 12-53",NB1253,2,1) String Room
Xtreme KS-141 Table Keyboard Stand,KS141,1,4) Out the Front
"D'Addario ECB81M Chromes Bass Guitar Strings, Light, 45-100, Medium Scale",ECB81M,1,1) String Room
Elixir 11050 Polyweb 80-20 Light 12-53 Coated Acoustic Guitar Strings,E11050,1,1) String Room
Carson 10' Guitar Cable Right AngLED Jacks Noiseless Cable,ROK10LL,3,4) Out the Front
Thomastik VIT100 Vision Titanium Solo Violin 4/4 String Set,DTVIT100,2,1) String Room
Planet Waves Screeching Halt Acoustic Soundhole Cover,PW-SH-01,1,4) Out the Front
Schaller New S-Locks (Pair) 14010701 - SatinPearl,10753PT,1,4) Out the Front
"Bryden Diatonic ""Blues"" Harmonica, Key of C mouth organ, harp, 10 hole",M45C,1,3) Cage
6 x Jim Dunlop Premium DELRIN 500 .96MM Gauge Guitar Picks / Plectrums *NEW* 41R,96DEL,1,2) Back Area
Nylon Guitar Strings Acoustic Classical Orphee Premium Universal 28-45 Free Pick,NX35_1_PICK,1,1) String Room
Casio CasioTone CTS-100 61 Note Digital Keyboard,CTS100BK,1,4) Out the Front
12 x Dunlop Tortex Standard 0.73mm Yellow Guitar Picks,73TOR-12,1,2) Back Area
6 X Guitar Bridge Pins Plastic String End Peg Acoustic Guitar ( Ivory Colour ),BPI-1,3,2) Back Area
"Dual-Lock, by D'Addario",PW-DLC-01,1,4) Out the Front
Ernie Ball 2221 Regular Slinky 10-46 Electric Guitar Strings *BRAND NEW*,2221,1,1) String Room
"Bryden Diatonic ""Blues"" Harmonica, Key of C *NEW* mouth organ, harp, 10 hole",M45C,1,3) Cage
SNARK Napoleon - Clip-on Chromatic Guitar and Bass Tuner w/FREE pick holder,WN5,1,3) Cage
Ernie Ball 2221 Regular Slinky 10-46 Electric Guitar Strings *BRAND NEW*,2221,2,1) String Room
"D'Addario EZ890 85-15 Bronze Acoustic Guitar Strings, Super Light, 9-45",EZ890,2,1) String Room
Ernie Ball 2627 Beefy Slinky 11-54 Electric Guitar Strings *BRAND NEW*,2627,3,1) String Room
DR PARTS GUITAR BODY Tele Telecaster Style Shape -Sanded & Sealed Alder,ZB302,1,4) Out the Front
Casio SA-46 Digital Electronic Electric Keyboard 32 Key for Kids Child Children,SA46,1,4) Out the Front
Casio CTS-1 61 Note Keyboard White,CTS1WE,1,4) Out the Front
4 x Jim Dunlop Red Delrin Medium Gauge Thumbpicks 9051R Thumb Picks,9051R-4,1,2) Back Area
"DXP 8"" Drum Practice Pad",TDK08,1,4) Out the Front
Dunlop Fretboard 65 Ultimate Lemon Oil 118ml Guitar Cleaner,J6544,1,3) Cage
6 x Jim Dunlop Nylon Standard Greys .60mm Guitar Picks Plectrums 0.60 Grey,60GRY,2,2) Back Area
"Eminence Red, White & Blues 12"" Guitar Speaker 8 Ohm",REDWHITEBLUES,1,4) Out the Front
Elixir 12050 Polyweb Electric Light 10-46 Electric Guitar Strings,E12050,1,1) String Room
"6 x Jim Dunlop Tortex Standard Mixed Gauges Guitar Picks Plectrums, Colour",MIXTOR6,1,2) Back Area
D'Addario EJ65B Pro-Arté Extruded Baritone Ukulele Strings Daddario EJ-65B,EJ65B,5,1) String Room
"Single Dunlop Acoustic Phosphor Bronze Guitar String Strings (Various Sizes)[Medium Light,2B - .015""]",DPS011,3,4) Out the Front
"Single Dunlop Acoustic Phosphor Bronze Guitar String Strings (Various Sizes)[Medium Light,4D - .032""]",DPS011,3,4) Out the Front
12 x Jim Dunlop Nylon Standard Greys .60mm Guitar Picks Plectrums 0.60 Grey,60GRY,1,2) Back Area
12 x Jim Dunlop Tortex Standard 0.60mm Orange Guitar Picks 418R,418R.60-12,1,2) Back Area
"Jim Dunlop 220 Chromed Steel Guitar Slide, Regular Wall Thickness, Medium Size",J220,1,2) Back Area
Shubb C1 ( C-1 ) Original Nickel Finish Capo For Steel String Acoustic Guitars,30330,1,4) Out the Front
AUSTRALASIAN - Daisy Chain DC5 Power Cord / Cable / Lead *NEW*,DC5,1,4) Out the Front
Hohner Special 20 Harp F# / Gb Harmonica 10 Hole 20 Reed 560/20 Progressive,,1,5) Undefined
Music Nomad MN105 Fretboard F-ONE Oil Cleaner & Conditioner,MN105,1,3) Cage
24 x Dunlop Tortex Standard 0.88mm Green Guitar Picks Bulk Bag,88TOR-24,1,2) Back Area
Ernie Ball 2215 Skinny Top Heavy Bottom 10-52 Slinky Strings *BRAND NEW*,2215,4,1) String Room
Behringer Powerplay P2 In-Ear Monitor,450507AUSTRALIS,1,4) Out the Front
Nylon Guitar Strings Acoustic Classical Orphee Premium Universal 28-45 Free Pick,NX35_1_PICK,1,1) String Room
"12 x Dunlop Nylon Standard ""Greys"" .38MM Gauge Guitar Picks",38GRY-12,1,2) Back Area
D'addario EXL115-3D 3 Pack Electric 11-49 Guitar Strings Sets Nickel Daddario,EXL115-3D,1,1) String Room
"9 x Jim Dunlop Stubby Guitar Picks Mixed 1mm, 2mm & 3mm Jazz Made in USA",20STUB-9,1,2) Back Area
2x Rosin to Suit All Bow Types - ( Violin Viola Cello ),SC-VR001,4,3) Cage
2x D'addario NYXL Electric 10-46 Guitar Strings Set Regular NYXL1046 * TWO SETS*,NYXL1046,4,1) String Room
BEHRINGER UO300 ULTRA OCTAVER,450358AUSTRALIS,1,3) Cage
MAHALO Wooden Soprano Ukulele Transparent Red & Bag Kahiko Series MK1-TRD[Bundle Pack (Tuner + Picks)],,1,5) Undefined
D'Addario EJ26-3D 11-52 Phos. Bronze Acoustic Guitar Strings *SET OF 3 PACKS*,EJ26-3D,1,1) String Room
"D'Addario EZ890 85-15 Bronze Acoustic Guitar Strings, Super Light, 9-45",EZ890,1,1) String Room
"D'Addario EZ890 85-15 Bronze Acoustic Guitar Strings, Super Light, 9-45",EZ890,1,1) String Room
2x D'Addario EJ16 Phosphor Bronze Light Strings 12-53 Daddario *SET OF 2 PACKS*,EJ16,2,1) String Room
6 x Jim Dunlop Max Grip Jazz 3 Black Stiffo Gauge Guitar Picks Jazz III,138XMS-6,1,2) Back Area
8x Ernie Ball Not Even Slinky 12-56 Electric Guitar Strings *SET OF 8 PACKS*,2626,8,1) String Room
Ernie Ball 2069 Earthwood 80/20 Bronze Folk Nylon Ball End Acoustic Guitar,2069,1,1) String Room
"Jim Dunlop 210 Pyrex Glass Guitar Slide, Medium Wall, Medium Size *NEW*",J210,1,2) Back Area
La Bella 670FHBB Flat Wound Beatle Bass Strings 50-100,LABELLA-760-FHBB,1,1) String Room
Orphee NX35 Tie On Classical Nylon Acoustic Guitar Strings (28-45),NX35,1,1) String Room
Jim Dunlop Capo / Slide Convertor Capo / Turns Guitar Into A Slide Guitar,70893,1,4) Out the Front
2Pcs Guitar Slide Glass and Stainless Steel Finger Tubes for Guitar Bass 60mm AU,SC-GS-C/SC-GS-G,1,4) Out the Front
Ernie Ball 2215 Skinny Top Heavy Bottom 10-52 Slinky Strings *BRAND NEW*,2215,3,1) String Room
"Rico Bb Clarinet 10 x Reeds, Strength 2.0 ( Two ) 10-pack RCA-1020 by D'addario",RCA1020,1,1) String Room
Universal Sustain Foot Pedal Damper Polarity Switch fit Electric Piano Keyboard,SC-SP001,1,2) Back Area
Casio 61/88 Key Piano Dust Cover for Electronic Keyboard and Digital Piano,DC09,1,3) Cage
Mano Percussion Wooden Vibraslap ED439,ED439,1,4) Out the Front
Rico Alto Sax Eb Saxophone 3 Pack Reeds Size 1.5 ( 1 1/2 - One And a Half ) 3PK,RJA0315,1,1) String Room
D'Addario EXL110-3D 3-Set Electric Guitar Strings Light 3 Pack EXL-110 10-46,EXL110-3D,1,1) String Room
"D'Addario NS Micro Clip-On Tuner, 2 pack",PW-CT-12TP,1,4) Out the Front
"Rico Bb Clarinet 10 x Reeds, Strength 2.0 ( Two ) 10-pack RCA-1020 by D'addario",RCA1020,1,1) String Room
Black Guitar Strap Replacement Adjustable Nylon Belt Acoustic Electric Bass,SC-GS001BK,1,2) Back Area
Graph Tech TUSQ Traditional Style Bridge Pins Set,GTP11,1,3) Cage
6 X Guitar Bridge Pins Bridge Pins String End Peg Acoustic Guitar ( Black ),BPB-1,1,2) Back Area
"Rico Bb Clarinet 10 x Reeds, Strength 2.0 ( Two ) 10-pack RCA-1020 + Cork Grease",PACK,1,2) Back Area
Clarinet Swab-Wire Handle Micro,42710PT,1,3) Cage
12 x Jim Dunlop Nylon Standard Greys .60mm Guitar Picks Plectrums 0.60 Grey,60GRY,1,2) Back Area
Ernie Ball 2221 Regular Slinky 10-46 Electric Guitar Strings *BRAND NEW*,2221,2,1) String Room
Aluminum Guitar Capo Spring Trigger Electric Acoustic Clamp Quick Change Release,MC-001BK,1,2) Back Area
Ernie Ball Polylock Guitar & Bass Strap,4056CMC,1,4) Out the Front
2x Thomastik AC110 Plectrum Acoustic Guitar Strings Set Light 10-41 AC-110,DTAC110,2,3) Cage
12 x Jim Dunlop Nylon Standard Greys .38mm Guitar Picks Plectrums 0.38 Grey,38GRY,1,2) Back Area
"20 x Jim Dunlop Ultex Sharp 0.73MM Gauge Guitar Picks 433R Plectrums, Pack",433R.73-20,1,2) Back Area
Hannabach Classical 800HT Set - Blue (High Tension),97800PT,1,3) Cage
Dunlop Fretboard 65 Ultimate Lemon Oil 118ml Guitar Cleaner,J6544,1,3) Cage
Deering 5-String Banjo Strings Set Medium Gauge 10 - 24w made in USA,DEERING-ST-M5,1,3) Cage
Dunlop Metallica James Hetfield Signature Guitar Pics Set Of 6 In Black,JSA81,1,2) Back Area
Royal by D'addario Bb Clarinet 10 Pack Reeds Size 2.5 ( 2 1/2 Two Half ) 10PK,RCB1025,1,1) String Room
Ernie Ball PARADIGM Ultra-Durable Super Slinky Electric Guitar Strings - 9-42,2023,1,1) String Room
Behringer UM300 Ultra Metal Heavy Metal Distortion Pedal,450396AUSTRALIS,1,3) Cage
10 X Jim Dunlop Max Grip Nylon 0.60mm .60 Gauge Grey Guitar Picks *TEN PICKS*,60MAX,1,2) Back Area
Gibson Vintage Reissue Restoration Kit,8400023AUSTRALIS,1,4) Out the Front
6 X Guitar Bridge Pins Bridge Pins String End Peg Acoustic Guitar ( Black ),BPB-1,1,2) Back Area
"JOHNSON - Diatonic ""Blues King"" Harmonica, Key of A mouth organ, 10 hole",M1002A,1,3) Cage
Rico Royal Alto Sax Saxophone 10 Pack Reeds Size 2.5 ( 2 1/2 - Two and a Half ),RJB1025,1,1) String Room
Orphee NX35 Tie On Classical Nylon Acoustic Guitar Strings (28-45),NX35,2,1) String Room
Blackstar Fly-3 3w Mini Guitar Amplifier *BRAND NEW*,FLY-3CMI,1,3) Cage
6 X Guitar Bridge Pins Bridge Pins String End Peg Acoustic Guitar ( Black ),BPB-1,1,2) Back Area
D'Addario EJ40 11-47 Light Silk / Steel Acoustic Guitar Strings Daddario EJ-40,EJ40,1,1) String Room
"6 x Dunlop Jazz Stubby 2.00MM Gauge Guitar Picks, Purple",20STUB-6,1,2) Back Area
Orphee NX35 Tie On Classical Nylon Acoustic Guitar Strings (28-45),NX35,3,1) String Room
